category,name,url,Image URL,Type,Base spirit,Ingredients,Preparation,Served,Standard drinkware,Standard garnish
Absinthe,Corpse reviver #2,https://en.wikipedia.org/wiki/Corpse_reviver#2,,Cocktail,,2 parts cognac 1 part apple brandy apple brandy or Calvados 1 part sweet vermouth,Shake well and strain into cocktail glass.[8],"Straight up: chilled, without ice",Cocktail glass,
Absinthe,Chrysanthemum,https://en.wikipedia.org/wiki/Chrysanthemum_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Chrysanthemum_cocktail.jpg/250px-Chrysanthemum_cocktail.jpg,Cocktail,,1.5 oz dry vermouth 3/4 oz bénédictine 2-3 dashes absinthe,Stir all ingredients with ice and strain into a chilled coupe,,Champagne coupe,Orange peel
Absinthe,Death in the Afternoon,https://en.wikipedia.org/wiki/Death_in_the_Afternoon_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Death_In_The_Afternoon.jpg/250px-Death_In_The_Afternoon.jpg,Wine cocktail,"Champagne,Absinthe",,,,Champagne flute,
Absinthe,Sazerac,https://en.wikipedia.org/wiki/Sazerac,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/SazeracCocktail.jpg/250px-SazeracCocktail.jpg,Cocktail,Cognac,50 mL cognac 10 mL absinthe One sugar cube sugar cube Two dashes Peychaud's Bitters Peychaud's Bitters,"Rinse a chilled old-fashioned glass with absinthe or anisette, and add crushed ice. Stir the other ingredients, with ice in a different glass. Discard ice and excess absinthe from the first glass, and strain the mixture into that glass.","Straight up: chilled, without ice",Old fashioned glass,lemon zest
Absinthe,Tuxedo,https://en.wikipedia.org/wiki/Tuxedo_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Tuxedo_No._2_cocktail.jpg/250px-Tuxedo_No._2_cocktail.jpg,Cocktail,Gin,3 cL gin (Old Tom) 3 cL dry vermouth 1/2 barspoon maraschino 1/4 barspoon absinthe 3 dashes orange bitters orange bitters,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,"Straight up: chilled, without ice",Cocktail glass,"cherry,lemon zest"
Beer,Black and tan,https://en.wikipedia.org/wiki/Black_and_tan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Blackandtanbeer.jpg/250px-Blackandtanbeer.jpg,Mixed drink,,Pale ale orlagerand stout orporter,,Neat: undiluted and without ice,Pint glass,
Beer,Black velvet,https://en.wikipedia.org/wiki/Black_velvet_(cocktail),https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Black_Velvet_Cocktail_Layered.jpg/250px-Black_Velvet_Cocktail_Layered.jpg,Mixed drink,,Stout and Champagne,Mix equal parts stout and Champagne,Straight,Pilsner glass,
Beer,Boilermaker,https://en.wikipedia.org/wiki/Boilermaker_(beer_cocktail),,,,,,,,
Beer,Hangman's blood,https://en.wikipedia.org/wiki/Hangman%27s_blood,,,,,,,,
Beer,Irish car bomb,https://en.wikipedia.org/wiki/Irish_car_bomb_(cocktail),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Irish_Car_Bomb.jpg/250px-Irish_Car_Bomb.jpg,Beer cocktail,,"Guinness stout,Baileys Irish Cream, andJameson Irish Whiskey","The whiskey is floated on top of the Irish cream in a shot glass, and the shot glass is then dropped into the stout",,Apub glassand ashot glass.,
